Unnamed: 0,AccXMean,AccXSD,AccXSkew,AccXKurtosis,AccXMin,AccXMax,AccYMean,AccYSD,AccYSkew,AccYKurtosis,AccYMin,AccYMax,AccZMean,AccZSD,AccZSkew,AccZKurtosis,AccZMin,AccZMax,GyrXMean,GyrXSD,GyrXSkew,GyrXKurtosis,GyrXMin,GyrXMax,GyrYMean,GyrYSD,GyrYSkew,GyrYKurtosis,GyrYMin,GyrYMax,GyrZMean,GyrZSD,GyrZSkew,GyrZKurtosis,GyrZMin,GyrZMax,TypeOfShot
56,0.6729733333333332,1.7520969998705995,-0.3553916160711717,-0.4723223755283601,-4.3168,3.6892,-2.734633333333333,2.779284964138958,-2.2335116635249816,5.131844972709203,-14.0417,-0.3708,-0.955655,2.0333256606214527,-1.832880905583308,5.683846249093078,-10.266,2.2121,132.92416666666665,361.9787604036175,1.258018892801263,1.1714037983161134,-250.74,1235.5699,83.34782833333335,264.0209528518864,1.5305525466826166,7.593103450089927,-420.7,1369.97,-74.88949999999998,355.8419062963453,0.0350358824711943,-1.172215008981346,-656.46,468.58,1.0
57,0.8180766666666665,2.401481701322933,1.4902184179449065,5.604671417108774,-4.9131,11.8354,-2.578305,2.718912814491913,-1.9626345694872969,3.5093422348728094,-13.0481,-0.425,-0.4284699999999999,2.637771661225942,-3.285864077549656,14.066954684968682,-14.2471,3.4926,-1.0849966666666635,377.8678919504368,1.449349716600142,1.6875063246261242,-450.31,1185.73,6.771329999999998,410.9024809621683,0.213691544495357,4.934030573433545,-1059.8,1751.47,-52.16167500000001,430.61592326085184,-1.123019713110364,0.2051257560109087,-1078.0699,402.22,1.0
58,1.73291,1.2817433230695343,0.658043261133463,3.544817099125403,-2.5502,6.423,-1.5335416666666666,1.7876177132608329,-1.6594643716115716,1.7566086270423575,-6.442,0.4392,-0.7812833333333333,1.4865841597620888,4.285765229288991,25.27014809981418,-2.4502,8.7347,26.65716333333334,257.5158640307175,-1.0448177785875747,0.7010454716423657,-657.44,367.01,-8.245996666666672,415.6959883995438,-2.5134246308060098,11.833212810233215,-2236.99,725.48,108.538495,205.34005876911223,-0.6826285464232619,-0.2162193773739895,-368.76,464.03,2.0
59,0.6641034482758622,1.80723644055145,0.811757949989726,4.90472312109347,-4.2758,8.4955,-1.956713793103448,2.6605840492752764,0.5451240212722636,4.404055512964019,-8.3003,9.3247,-0.3579862068965518,2.806392071402433,-0.7525461006567249,13.588594388970574,-14.457,11.1142,138.92828275862067,486.4154752097936,1.553305309503107,1.150360386730112,-288.6099,1501.99,5.82327413793103,251.081072813154,1.4833578862397383,9.76745321201486,-552.51,1272.95,-68.81603793103449,380.0828568630329,-0.1935917193323094,-0.9873107150827698,-751.24,515.9,1.0
60,1.808756896551724,1.8407303508448487,-0.5538294244652345,1.7799047494811049,-4.3251,6.1214,-2.347103448275861,2.8815012737595245,-0.5865157581457742,-1.0029289151296552,-7.99,2.3975,1.2791310344827589,2.8801301677484634,2.3335482196076294,5.477696179169971,-1.3122,12.4254,-301.1605137931034,397.2700072445025,-1.3477922563701266,0.6170603469015168,-1358.84,30.87,25.727413793103448,407.6850435207122,-0.3760177771617975,-0.5893863046778809,-837.9,803.95,14.241370689655175,388.2519634027469,-0.3040546545094089,0.1142163968992568,-797.86,816.13,2.0
61,1.496551724137931,2.392446264106042,0.3372861937589939,5.607082880976963,-7.746,9.9024,-2.0711172413793104,2.9307010642470166,0.9448851413069682,8.472953823829762,-11.6661,11.8788,0.1800344827586206,1.8902962280672897,3.9670330434785774,23.45313582734409,-3.5599,11.9481,-37.02999827586206,442.691756391472,1.6555585315675134,2.909493495732031,-791.0,1473.71,-27.43155344827586,460.9174348754966,-1.7422194718399246,2.228723575367756,-1437.52,575.19,-55.75378793103447,453.750134564924,-1.1886675691963282,0.6672290486694736,-1288.98,477.68,1.0
62,3.183962068965517,2.827443761740031,0.946720733365962,-0.0089481417604022,0.2034,11.3303,-2.6374413793103453,3.3917674914738463,-1.1166739111018522,0.4390240484893266,-12.8997,0.7568,0.0338810344827586,1.804171983683727,1.6073775449197898,7.835122042285249,-3.8825,8.7864,-75.9982775862069,353.2714716239394,-0.1394719324872411,-0.1522076342093439,-838.39,735.21,26.07017413793103,516.7005951396746,-1.4691346186189007,5.710618177531968,-2104.76,1102.5,262.7824103448276,320.100128091117,1.389950306712072,1.0404814295000566,-129.2899,1168.3,2.0
63,1.213487931034483,1.7680576248681323,-4.132576269759741,18.793486988744625,-8.1901,4.4095,-1.238887931034483,2.2088505177313214,-2.208123193191869,5.163664711374773,-10.5939,1.1326,-1.419939655172414,2.240437073040672,0.8175244310517684,0.7464240728644662,-5.1254,4.9166,-47.60723965517242,464.9343130210776,0.7456782634044485,0.3987614800855708,-804.93,1312.01,41.8998275862069,129.72733838791265,0.4594932080731591,-0.2651856231016114,-221.06,373.66,204.1163689655172,97.33153285915708,0.2809472604667851,-0.3495746357605154,14.42,443.66,1.0
64,0.7331827586206896,1.3793880527420708,-1.1382376139753054,2.8531310150968388,-4.2212,3.2222,-2.541172413793104,2.8090565915901804,-1.4625411245793456,1.6297121271855757,-12.1536,2.4131,-0.4927327586206896,1.4622527249121744,-2.7966105016015894,15.841116063694136,-8.782,3.0744,-0.8544741379310273,415.0415842004312,1.311841645954558,2.324511562523917,-860.51,1296.54,-131.87034655172414,497.0116402505087,-1.4321948244746645,2.8233890615327404,-1805.3,1114.47,-74.45224482758623,499.9130830425074,-1.4066639643234553,1.1033633067359734,-1487.64,427.21,1.0
65,1.5092086206896551,2.429207476146709,0.9334629778849066,5.126408155693698,-5.8911,11.9389,-3.091013793103448,2.571237841333684,-1.2907148265363213,0.6003068630677131,-10.5359,-0.0424,-0.2998568965517241,1.0735154755500924,0.179041547208291,0.4016043007665439,-3.0041,2.5132,-50.21172413793104,485.0271896338004,0.8639653406494521,0.4146688176441282,-938.7,1143.73,-40.45638103448275,727.600797713332,-1.07886111310668,3.397545728077933,-2293.48,2251.41,72.14585517241377,455.48475653644266,-1.417548964739176,1.7720082691834147,-1331.89,542.2199,1.0
66,1.3028482758620687,1.4295672126907764,0.9508334920158168,2.552841963335469,-2.0847,6.8808,-2.39605,2.8694684166025093,-1.179810347711889,1.6224926687138472,-11.5695,4.4837,-0.0046413793103447,2.1998623297077167,-1.8698118420401848,14.820862121675962,-11.9276,6.9174,12.607243103448276,443.325008670357,0.7546886144288228,0.0933807014373186,-791.77,1004.71,-78.51707068965517,458.8959311932981,-1.11429226595471,1.119314620552637,-1317.89,878.01,-105.6058603448276,462.7250092351358,-1.1004589179303652,0.4919546659087426,-1324.61,470.12,1.0
67,1.4223844827586207,1.4295935676101508,0.3776089172325776,2.859333333173684,-2.8748,6.8344,-3.0115482758620686,2.792214437425248,-0.5703472592317501,4.0984940755633605,-13.358,6.8002,-0.0068603448275862,1.1514619895712872,0.4082918148411467,0.0018897836506801,-2.2877,3.4013,-10.41792586206896,435.520981666993,1.6231160043003734,2.8096049418596643,-609.14,1469.51,-7.866558620689651,469.83220237503065,-1.0489635537284945,0.5901852785872244,-1351.28,739.34,-66.2188,583.764132438048,-0.8584745758659116,-0.2716623803434546,-1394.89,653.94,1.0
68,1.4399120689655172,1.1153289344833297,1.3431894778799898,6.541797678411804,-1.5684,6.6475,-2.872831034482758,2.5095927580885817,-1.3059398024646458,1.086661800691208,-10.7696,-0.2727,-1.0364982758620689,2.661689477503377,-0.7293931473668035,-0.5418604492980168,-8.1183,2.398,32.846894827586205,482.3729396821153,1.200965276568677,0.8813250593690718,-536.55,1524.67,98.96913620689656,326.8518478163219,-0.9240845226188796,7.250708825767306,-1429.61,1067.71,304.2863758620689,131.60177974180593,-1.1120434385022118,1.7549445182258392,-104.44,539.77,0.0
69,1.9728724137931035,1.00959696871524,0.5230365463933796,-0.1047941587500274,0.223,4.7794,-2.150089655172414,3.011112047966702,-1.8054495972275189,2.837265529809984,-12.9744,0.6719,-0.1849982758620689,1.4601968573580777,-1.647031012231857,7.183917491149629,-7.1784,2.7113,-66.73655172413794,375.53123015803584,1.0545823930866147,1.2968406388578355,-586.74,1066.17,-3.592931034482757,265.49773325507346,0.3595406234538774,2.6966772437466258,-836.99,822.5,224.9824068965517,360.0971135778092,1.7096684523785364,1.8084219332324567,-148.12,1331.26,1.0
